id,user_id,order_id,category,fortune_draw_id,fkey,allocated_date,active_date
1332,27,15,1,8,VMDYWI,"2025-04-15 11:16:26","2025-05-11 17:30:00"
893,27,0,4,7,VVAJQS,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1346,27,15,1,9,VXYAFK,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1098,27,11,1,8,WAKLJI,"2025-04-14 18:28:26","2025-05-11 17:30:00"
1348,27,15,1,9,WAQNVD,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1104,27,11,1,9,WDZLBE,"2025-04-14 18:28:26","2025-05-18 17:30:00"
890,27,0,4,7,WHEFOV,"2025-04-14 18:14:37","2025-04-14 18:14:37"
889,27,0,4,7,WLRNVI,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1319,27,15,1,7,WLYYIK,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1324,27,15,1,7,WNTJXC,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1091,27,11,1,7,WRNTDE,"2025-04-14 18:28:26","2025-05-04 17:30:00"
1088,27,11,1,7,WVPVOV,"2025-04-14 18:28:26","2025-05-04 17:30:00"
898,27,0,4,7,XCNNKK,"2025-04-14 18:14:37","2025-04-14 18:14:37"
910,27,0,4,7,XFMXQM,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1084,27,11,1,7,XMGRWM,"2025-04-14 18:28:26","2025-05-04 17:30:00"
1093,27,11,1,8,XQQXMI,"2025-04-14 18:28:26","2025-05-11 17:30:00"
895,27,0,4,7,XXIFIE,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1352,27,15,1,10,YDBFIU,"2025-04-15 11:16:27","2025-05-25 17:30:00"
904,27,0,4,7,YDFJAZ,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1326,27,15,1,8,YLGEZN,"2025-04-15 11:16:26","2025-05-11 17:30:00"
1101,27,11,1,9,YNKQBO,"2025-04-14 18:28:26","2025-05-18 17:30:00"
909,27,0,4,7,YPOXDC,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1354,27,15,1,10,YTKCHC,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1112,27,11,1,10,YVSZTP,"2025-04-14 18:28:26","2025-05-25 17:30:00"
907,27,0,4,7,ZAMHKM,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1331,27,15,1,8,ZCOSUX,"2025-04-15 11:16:26","2025-05-11 17:30:00"
1343,27,15,1,9,ZEHRUS,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1329,27,15,1,8,ZKKXUU,"2025-04-15 11:16:26","2025-05-11 17:30:00"
1330,27,15,1,8,ZTVFYP,"2025-04-15 11:16:26","2025-05-11 17:30:00"
1337,27,15,1,8,ZWPAIG,"2025-04-15 11:16:26","2025-05-11 17:30:00"
